ID: koa_10102002_002 | T:3 vs O:1
ID: koa_10102006_004 | T:8 vs O:10
ID: koa_10102011_004 | T:20 vs O:18
ID: koa_10102012_002 | T:20 vs O:16
ID: koa_10102014_003 | T:15 vs O:12
ID: koa_10102014_004 | T:16 vs O:12
ID: koa_10102016_001 | T:5 vs O:3
ID: koa_10102018_003 | T:12 vs O:10
ID: koa_10102019_004 | T:6 vs O:8
ID: koa_10102021_002 | T:4 vs O:2
ID: koa_10102021_003 | T:3 vs O:5
ID: koa_10102023_004 | T:15 vs O:18
ID: koa_10102025_001 | T:5 vs O:7
ID: koa_10102025_004 | T:7 vs O:10
ID: koa_10102028_003 | T:18 vs O:21
ID: koa_10103007_001 | T:3 vs O:5
ID: koa_10103007_002 | T:17 vs O:15
ID: koa_10103009_001 | T:2 vs O:5
ID: koa_10103011_001 | T:1 vs O:3
ID: koa_10103013_001 | T:12 vs O:10
ID: koa_10103013_002 | T:5 vs O:8
ID: koa_10103016_003 | T:4 vs O:6
ID: koa_10103018_003 | T:7 vs O:9
ID: koa_10103022_002 | T:26 vs O:22
ID: koa_10103023_002 | T:4 vs O:2
ID: koa_10103027_002 | T:2 vs O:4
ID: koa_10103029_005 | T:23 vs O:19
ID: koa_10104001_003 | T:6 vs O:4
ID: koa_10104002_003 | T:22 vs O:19
ID: koa_10104004_001 | T:132 vs O:128
ID: koa_10104006_002 | T:19 vs O:17
ID: koa_10104006_003 | T:6 vs O:4
ID: koa_10104008_003 | T:7 vs O:5
ID: koa_10104010_003 | T:6 vs O:4
ID: koa_10104010_004 | T:21 vs O:23
ID: koa_10104011_003 | T:14 vs O:11
ID: koa_10104013_003 | T:45 vs O:36
ID: koa_10104013_004 | T:7 vs O:9
ID: koa_10104014_003 | T:22 vs O:19
ID: koa_10104015_002 | T:15 vs O:18
ID: koa_10104016_002 | T:10 vs O:8
ID: koa_10104016_004 | T:24 vs O:14
ID: koa_10104017_002 | T:11 vs O:8
ID: koa_10104017_003 | T:7 vs O:5
ID: koa_10104017_006 | T:24 vs O:22
ID: koa_10104022_007 | T:63 vs O:54
ID: koa_10104023_005 | T:10 vs O:14
ID: koa_10104024_004 | T:4 vs O:6
ID: koa_10104024_005 | T:13 vs O:10
ID: koa_10104024_007 | T:5 vs O:7
ID: koa_10104024_008 | T:33 vs O:29
ID: koa_10104026_004 | T:6 vs O:8
ID: koa_10104027_002 | T:28 vs O:31
ID: koa_10104028_005 | T:9 vs O:12
ID: koa_10104028_009 | T:15 vs O:12
ID: koa_10104028_011 | T:5 vs O:7
ID: koa_10105002_003 | T:1 vs O:0
ID: koa_10105004_012 | T:14 vs O:12
ID: koa_10105005_002 | T:10 vs O:7
ID: koa_10105006_003 | T:11 vs O:9
ID: koa_10105007_004 | T:23 vs O:19
ID: koa_10105009_003 | T:12 vs O:10
ID: koa_10105011_002 | T:15 vs O:12
ID: koa_10105011_003 | T:14 vs O:11
ID: koa_10105011_004 | T:9 vs O:6
ID: koa_10105011_005 | T:9 vs O:5
ID: koa_10105013_007 | T:20 vs O:18
ID: koa_10105014_001 | T:12 vs O:10
ID: koa_10105014_006 | T:12 vs O:10
ID: koa_10105015_001 | T:9 vs O:7
ID: koa_10105015_002 | T:7 vs O:5
ID: koa_10105016_001 | T:5 vs O:3
ID: koa_10105016_002 | T:8 vs O:6
ID: koa_10105018_001 | T:9 vs O:7
ID: koa_10105028_002 | T:5 vs O:2
ID: koa_10106001_001 | T:9 vs O:11
ID: koa_10106002_003 | T:54 vs O:48
ID: koa_10106007_001 | T:22 vs O:25
ID: koa_10106008_002 | T:17 vs O:19
ID: koa_10106010_004 | T:6 vs O:9
ID: koa_10106014_001 | T:7 vs O:5
ID: koa_10106014_002 | T:14 vs O:11
ID: koa_10106014_003 | T:13 vs O:10
ID: koa_10106014_006 | T:5 vs O:3
ID: koa_10106014_007 | T:4 vs O:2
ID: koa_10106015_003 | T:10 vs O:8
ID: koa_10106016_001 | T:5 vs O:3
ID: koa_10106016_004 | T:14 vs O:12
ID: koa_10106017_001 | T:8 vs O:10
ID: koa_10106017_004 | T:20 vs O:17
ID: koa_10106017_006 | T:6 vs O:4
ID: koa_10106018_003 | T:4 vs O:2
ID: koa_10106020_004 | T:4 vs O:2
ID: koa_10106022_003 | T:13 vs O:15
ID: koa_10106023_005 | T:4 vs O:8
ID: koa_10106024_003 | T:11 vs O:8
ID: koa_10106024_009 | T:28 vs O:31
ID: koa_10106028_001 | T:7 vs O:5
ID: koa_10106029_004 | T:61 vs O:67
ID: koa_10106029_005 | T:14 vs O:16
ID: koa_10107004_001 | T:3 vs O:8
ID: koa_10107007_001 | T:17 vs O:21
ID: koa_10107015_001 | T:4 vs O:6
ID: koa_10107019_001 | T:26 vs O:28
ID: koa_10107024_003 | T:6 vs O:4
ID: koa_10107027_001 | T:44 vs O:49
ID: koa_10107027_002 | T:9 vs O:6
ID: koa_10107029_002 | T:8 vs O:10
ID: koa_10108001_001 | T:12 vs O:9
ID: koa_10108001_006 | T:9 vs O:11
ID: koa_10108003_003 | T:6 vs O:8
ID: koa_10108007_005 | T:16 vs O:18
ID: koa_10108008_005 | T:3 vs O:1
ID: koa_10108012_004 | T:5 vs O:3
ID: koa_10108018_001 | T:16 vs O:18
ID: koa_10108018_005 | T:1 vs O:3
ID: koa_10108020_001 | T:58 vs O:53
ID: koa_10108020_002 | T:3 vs O:1
ID: koa_10108021_002 | T:8 vs O:10
ID: koa_10108022_001 | T:9 vs O:7
ID: koa_10108023_003 | T:5 vs O:3
ID: koa_10108025_002 | T:10 vs O:8
ID: koa_10108029_003 | T:1 vs O:3
ID: koa_10109003_003 | T:4 vs O:2
ID: koa_10109004_001 | T:17 vs O:19
ID: koa_10109004_002 | T:38 vs O:29
ID: koa_10109004_006 | T:5 vs O:8
ID: koa_10109004_009 | T:4 vs O:2
ID: koa_10109005_004 | T:27 vs O:25
ID: koa_10109006_001 | T:14 vs O:17
ID: koa_10109006_006 | T:19 vs O:17
ID: koa_10109006_008 | T:24 vs O:18
ID: koa_10109006_009 | T:6 vs O:4
ID: koa_10109009_001 | T:6 vs O:4
ID: koa_10109009_002 | T:15 vs O:17
ID: koa_10109009_004 | T:9 vs O:11
ID: koa_10109011_002 | T:45 vs O:40
ID: koa_10109011_003 | T:5 vs O:7
