ID: koa_10004018_003 | T:2 vs O:1
ID: koa_10004018_006 | T:6 vs O:5
ID: koa_10004019_002 | T:7 vs O:8
ID: koa_10004019_003 | T:15 vs O:16
ID: koa_10004019_004 | T:1 vs O:2
ID: koa_10004019_006 | T:2 vs O:1
ID: koa_10004019_008 | T:2 vs O:1
ID: koa_10004020_003 | T:2 vs O:3
ID: koa_10004020_004 | T:1 vs O:2
ID: koa_10004021_003 | T:4 vs O:5
ID: koa_10004021_004 | T:2 vs O:3
ID: koa_10004021_005 | T:3 vs O:2
ID: koa_10004022_002 | T:8 vs O:7
ID: koa_10004022_004 | T:7 vs O:6
ID: koa_10004022_005 | T:1 vs O:2
ID: koa_10004022_006 | T:1 vs O:2
ID: koa_10004023_002 | T:6 vs O:5
ID: koa_10004023_003 | T:2 vs O:3
ID: koa_10004023_004 | T:1 vs O:2
ID: koa_10004023_005 | T:1 vs O:2
ID: koa_10004024_003 | T:1 vs O:2
ID: koa_10004024_005 | T:3 vs O:4
ID: koa_10004024_008 | T:21 vs O:20
ID: koa_10004024_009 | T:7 vs O:6
ID: koa_10004024_010 | T:7 vs O:6
ID: koa_10004024_013 | T:9 vs O:8
ID: koa_10004025_004 | T:1 vs O:2
ID: koa_10004025_006 | T:8 vs O:7
ID: koa_10004025_008 | T:4 vs O:5
ID: koa_10004026_002 | T:1 vs O:2
ID: koa_10004027_003 | T:4 vs O:3
ID: koa_10004027_004 | T:2 vs O:3
ID: koa_10004027_005 | T:1 vs O:2
ID: koa_10004027_006 | T:7 vs O:6
ID: koa_10004028_004 | T:5 vs O:4
ID: koa_10004029_001 | T:11 vs O:12
ID: koa_10004029_005 | T:4 vs O:5
ID: koa_10005001_001 | T:4 vs O:3
ID: koa_10005002_001 | T:4 vs O:3
ID: koa_10005003_001 | T:5 vs O:6
ID: koa_10005004_001 | T:2 vs O:3
ID: koa_10005006_001 | T:1 vs O:2
ID: koa_10005007_003 | T:7 vs O:6
ID: koa_10005007_004 | T:4 vs O:3
ID: koa_10005007_007 | T:5 vs O:6
ID: koa_10005007_008 | T:4 vs O:5
ID: koa_10005007_009 | T:16 vs O:15
ID: koa_10005008_002 | T:1 vs O:2
ID: koa_10005008_004 | T:3 vs O:2
ID: koa_10005009_002 | T:5 vs O:4
ID: koa_10005009_003 | T:6 vs O:5
ID: koa_10005010_001 | T:7 vs O:6
ID: koa_10005010_002 | T:1 vs O:2
ID: koa_10005011_003 | T:1 vs O:2
ID: koa_10005011_004 | T:7 vs O:6
ID: koa_10005013_001 | T:29 vs O:28
ID: koa_10005014_001 | T:1 vs O:2
ID: koa_10005015_001 | T:2 vs O:1
ID: koa_10005015_003 | T:2 vs O:3
ID: koa_10005015_005 | T:2 vs O:3
ID: koa_10005016_001 | T:1 vs O:2
ID: koa_10005017_001 | T:2 vs O:3
ID: koa_10005018_002 | T:8 vs O:7
ID: koa_10005018_003 | T:6 vs O:5
ID: koa_10005018_004 | T:13 vs O:14
ID: koa_10005018_005 | T:1 vs O:2
ID: koa_10005019_001 | T:2 vs O:1
ID: koa_10005020_001 | T:4 vs O:3
ID: koa_10005020_003 | T:4 vs O:3
ID: koa_10005020_004 | T:2 vs O:3
ID: koa_10005020_005 | T:1 vs O:2
ID: koa_10005021_001 | T:1 vs O:2
ID: koa_10005021_002 | T:7 vs O:8
ID: koa_10005022_002 | T:2 vs O:1
ID: koa_10005022_003 | T:2 vs O:3
ID: koa_10005022_004 | T:2 vs O:1
ID: koa_10005023_001 | T:4 vs O:5
ID: koa_10005023_002 | T:2 vs O:3
ID: koa_10005023_003 | T:15 vs O:14
ID: koa_10005023_004 | T:1 vs O:2
ID: koa_10005025_001 | T:6 vs O:7
ID: koa_10005025_003 | T:2 vs O:3
ID: koa_10005026_001 | T:8 vs O:7
ID: koa_10005026_002 | T:2 vs O:1
ID: koa_10005026_003 | T:24 vs O:23
ID: koa_10005027_001 | T:6 vs O:5
ID: koa_10005027_002 | T:13 vs O:12
ID: koa_10005028_001 | T:8 vs O:7
ID: koa_10005029_002 | T:1 vs O:2
ID: koa_10005029_004 | T:4 vs O:3
ID: koa_10006001_001 | T:4 vs O:3
ID: koa_10006001_002 | T:9 vs O:8
ID: koa_10006002_001 | T:9 vs O:10
ID: koa_10006003_001 | T:2 vs O:3
ID: koa_10006003_002 | T:15 vs O:14
ID: koa_10006003_003 | T:3 vs O:4
ID: koa_10006003_005 | T:2 vs O:3
ID: koa_10006004_001 | T:5 vs O:6
ID: koa_10006005_001 | T:5 vs O:4
ID: koa_10006005_002 | T:12 vs O:11
ID: koa_10006006_002 | T:5 vs O:6
ID: koa_10006007_001 | T:2 vs O:3
ID: koa_10006008_001 | T:2 vs O:3
ID: koa_10006009_004 | T:3 vs O:4
ID: koa_10006009_005 | T:6 vs O:5
ID: koa_10006011_002 | T:10 vs O:9
ID: koa_10006012_001 | T:3 vs O:4
ID: koa_10006013_002 | T:8 vs O:7
ID: koa_10006013_003 | T:5 vs O:4
ID: koa_10006014_004 | T:6 vs O:7
ID: koa_10006014_005 | T:6 vs O:7
ID: koa_10006015_002 | T:11 vs O:10
ID: koa_10006015_003 | T:1 vs O:2
ID: koa_10006016_001 | T:0 vs O:1
ID: koa_10006016_002 | T:2 vs O:1
ID: koa_10006017_001 | T:2 vs O:3
ID: koa_10006017_002 | T:1 vs O:2
ID: koa_10006018_002 | T:7 vs O:6
ID: koa_10006018_005 | T:6 vs O:5
ID: koa_10006019_001 | T:1 vs O:2
ID: koa_10006021_002 | T:1 vs O:2
ID: koa_10006021_003 | T:2 vs O:3
ID: koa_10006022_001 | T:5 vs O:6
ID: koa_10006023_001 | T:1 vs O:2
ID: koa_10006023_003 | T:3 vs O:2
ID: koa_10006023_005 | T:3 vs O:4
ID: koa_10006024_001 | T:3 vs O:4
ID: koa_10006024_003 | T:5 vs O:4
ID: koa_10006024_004 | T:1 vs O:2
ID: koa_10006025_003 | T:1 vs O:2
ID: koa_10006027_001 | T:1 vs O:2
ID: koa_10007001_001 | T:12 vs O:11
ID: koa_10007001_002 | T:4 vs O:5
ID: koa_10007001_004 | T:3 vs O:4
ID: koa_10007002_001 | T:10 vs O:9
ID: koa_10007002_002 | T:3 vs O:2
ID: koa_10007002_004 | T:6 vs O:7
ID: koa_10007002_006 | T:6 vs O:7
ID: koa_10007002_007 | T:3 vs O:4
ID: koa_10007002_008 | T:2 vs O:1
ID: koa_10007002_009 | T:3 vs O:2
ID: koa_10007002_013 | T:7 vs O:8
ID: koa_10007003_001 | T:3 vs O:2
ID: koa_10007003_002 | T:3 vs O:2
ID: koa_10007003_003 | T:5 vs O:6
ID: koa_10007003_004 | T:4 vs O:5
ID: koa_10007003_005 | T:4 vs O:5
ID: koa_10007003_007 | T:2 vs O:3
ID: koa_10007004_001 | T:2 vs O:1
ID: koa_10007004_003 | T:2 vs O:3
ID: koa_10007004_007 | T:1 vs O:2
ID: koa_10007006_006 | T:3 vs O:4
ID: koa_10007006_007 | T:3 vs O:4
ID: koa_10007007_001 | T:3 vs O:2
ID: koa_10007007_004 | T:3 vs O:2
ID: koa_10007007_005 | T:3 vs O:4
ID: koa_10007007_009 | T:2 vs O:3
ID: koa_10007007_011 | T:2 vs O:1
ID: koa_10007008_001 | T:2 vs O:1
ID: koa_10007008_002 | T:3 vs O:2
ID: koa_10007008_003 | T:3 vs O:2
ID: koa_10007008_004 | T:5 vs O:4
ID: koa_10007008_006 | T:1 vs O:2
ID: koa_10007009_002 | T:1 vs O:2
ID: koa_10007009_003 | T:2 vs O:3
ID: koa_10007009_004 | T:1 vs O:2
ID: koa_10007009_006 | T:2 vs O:3
ID: koa_10007009_007 | T:1 vs O:2
ID: koa_10007010_002 | T:3 vs O:4
ID: koa_10007011_001 | T:8 vs O:9
ID: koa_10007011_002 | T:1 vs O:2
ID: koa_10007011_003 | T:3 vs O:2
ID: koa_10007011_004 | T:3 vs O:2
ID: koa_10007011_005 | T:14 vs O:13
ID: koa_10007012_001 | T:13 vs O:14
ID: koa_10007012_002 | T:3 vs O:4
ID: koa_10007013_001 | T:4 vs O:5
ID: koa_10007013_002 | T:2 vs O:3
ID: koa_10007013_003 | T:2 vs O:3
ID: koa_10007013_004 | T:3 vs O:2
ID: koa_10007013_008 | T:1 vs O:2
ID: koa_10007013_009 | T:1 vs O:2
ID: koa_10007014_002 | T:1 vs O:2
ID: koa_10007016_001 | T:2 vs O:3
ID: koa_10007018_001 | T:8 vs O:7
ID: koa_10007019_001 | T:2 vs O:3
ID: koa_10007019_003 | T:2 vs O:3
ID: koa_10007020_002 | T:2 vs O:1
ID: koa_10007020_003 | T:3 vs O:2
ID: koa_10007020_004 | T:8 vs O:7
ID: koa_10007021_002 | T:6 vs O:5
ID: koa_10007021_003 | T:7 vs O:6
ID: koa_10007021_006 | T:5 vs O:4
ID: koa_10007022_002 | T:6 vs O:5
ID: koa_10007022_004 | T:6 vs O:5
ID: koa_10007022_005 | T:1 vs O:2
ID: koa_10007022_006 | T:1 vs O:2
ID: koa_10007023_002 | T:4 vs O:3
ID: koa_10007023_003 | T:4 vs O:5
ID: koa_10007024_002 | T:2 vs O:1
ID: koa_10007024_003 | T:5 vs O:4
ID: koa_10007024_004 | T:4 vs O:3
ID: koa_10007024_006 | T:2 vs O:1
ID: koa_10007024_007 | T:8 vs O:9
ID: koa_10007024_009 | T:9 vs O:8
ID: koa_10007025_001 | T:4 vs O:3
ID: koa_10007025_002 | T:6 vs O:5
ID: koa_10007026_001 | T:3 vs O:4
ID: koa_10007028_002 | T:2 vs O:1
ID: koa_10007029_003 | T:6 vs O:7
ID: koa_10007029_004 | T:9 vs O:10
ID: koa_10007029_005 | T:12 vs O:13
ID: koa_10008001_002 | T:6 vs O:7
ID: koa_10008001_003 | T:2 vs O:3
ID: koa_10008001_004 | T:9 vs O:8
ID: koa_10008002_001 | T:10 vs O:11
ID: koa_10008002_003 | T:14 vs O:15
ID: koa_10008002_005 | T:1 vs O:2
ID: koa_10008002_006 | T:3 vs O:4
ID: koa_10008005_001 | T:4 vs O:3
ID: koa_10008005_002 | T:6 vs O:7
ID: koa_10008005_003 | T:6 vs O:7
ID: koa_10008006_001 | T:10 vs O:11
ID: koa_10008007_003 | T:2 vs O:3
ID: koa_10008008_002 | T:12 vs O:13
ID: koa_10008008_003 | T:1 vs O:2
ID: koa_10008009_003 | T:16 vs O:17
ID: koa_10008009_004 | T:2 vs O:1
ID: koa_10008010_002 | T:2 vs O:3
ID: koa_10008010_005 | T:1 vs O:2
ID: koa_10008011_001 | T:9 vs O:8
ID: koa_10008011_002 | T:7 vs O:6
ID: koa_10008011_003 | T:4 vs O:5
ID: koa_10008011_006 | T:3 vs O:2
ID: koa_10008012_002 | T:4 vs O:3
ID: koa_10008012_003 | T:1 vs O:2
ID: koa_10008013_001 | T:5 vs O:6
ID: koa_10008014_002 | T:1 vs O:2
ID: koa_10008014_003 | T:2 vs O:3
ID: koa_10008015_002 | T:2 vs O:3
ID: koa_10008015_003 | T:3 vs O:4
ID: koa_10008015_004 | T:5 vs O:4
ID: koa_10008016_001 | T:2 vs O:1
ID: koa_10008016_004 | T:1 vs O:2
ID: koa_10008016_005 | T:6 vs O:7
ID: koa_10008016_006 | T:1 vs O:2
ID: koa_10008017_001 | T:14 vs O:15
ID: koa_10008017_002 | T:4 vs O:3
ID: koa_10008018_003 | T:3 vs O:4
ID: koa_10008018_004 | T:6 vs O:7
ID: koa_10008018_007 | T:3 vs O:4
ID: koa_10008018_008 | T:1 vs O:2
ID: koa_10008019_001 | T:7 vs O:8
ID: koa_10008019_002 | T:3 vs O:4
ID: koa_10008019_003 | T:2 vs O:3
ID: koa_10008019_004 | T:2 vs O:3
ID: koa_10008019_005 | T:15 vs O:14
ID: koa_10008019_007 | T:4 vs O:5
ID: koa_10008020_003 | T:2 vs O:3
ID: koa_10008020_004 | T:6 vs O:7
ID: koa_10008020_005 | T:6 vs O:7
ID: koa_10008020_006 | T:4 vs O:5
ID: koa_10008020_007 | T:3 vs O:4
ID: koa_10008020_012 | T:2 vs O:1
ID: koa_10008020_013 | T:1 vs O:2
ID: koa_10008021_002 | T:6 vs O:7
ID: koa_10008021_003 | T:2 vs O:1
ID: koa_10008021_004 | T:1 vs O:2
ID: koa_10008021_006 | T:3 vs O:2
ID: koa_10008021_007 | T:1 vs O:2
ID: koa_10008023_001 | T:1 vs O:2
ID: koa_10008023_004 | T:3 vs O:4
ID: koa_10008023_005 | T:3 vs O:4
ID: koa_10008023_007 | T:12 vs O:13
ID: koa_10008023_008 | T:5 vs O:6
ID: koa_10008023_009 | T:4 vs O:5
ID: koa_10008024_001 | T:3 vs O:4
ID: koa_10008024_002 | T:3 vs O:4
