ID: koa_10103028_002 | O:1, T:9
ID: koa_10103028_003 | O:1, T:3
ID: koa_10103029_005 | O:9, T:14
ID: koa_10104001_003 | O:1, T:4
ID: koa_10104001_005 | O:1, T:3
ID: koa_10104002_003 | O:16, T:18
ID: koa_10104004_001 | O:4, T:11
ID: koa_10104005_006 | O:3, T:2
ID: koa_10104006_005 | O:1, T:3
ID: koa_10104008_003 | O:2, T:5
ID: koa_10104009_001 | O:2, T:1
ID: koa_10104010_004 | O:1, T:2
ID: koa_10104011_001 | O:1, T:3
ID: koa_10104011_003 | O:8, T:10
ID: koa_10104012_003 | O:22, T:21
ID: koa_10104013_003 | O:21, T:31
ID: koa_10104013_004 | O:7, T:3
ID: koa_10104014_003 | O:1, T:5
ID: koa_10104016_002 | O:1, T:5
ID: koa_10104016_003 | O:1, T:3
ID: koa_10104017_003 | O:2, T:4
ID: koa_10104017_006 | O:17, T:20
ID: koa_10104017_007 | O:1, T:2
ID: koa_10104018_004 | O:7, T:8
ID: koa_10104019_001 | O:1, T:2
ID: koa_10104021_003 | O:1, T:8
ID: koa_10104021_004 | O:4, T:3
ID: koa_10104021_006 | O:1, T:2
ID: koa_10104021_008 | O:2, T:1
ID: koa_10104022_003 | O:3, T:4
ID: koa_10104022_004 | O:9, T:8
ID: koa_10104022_007 | O:40, T:47
ID: koa_10104022_008 | O:8, T:7
ID: koa_10104024_005 | O:3, T:9
ID: koa_10104024_008 | O:19, T:5
ID: koa_10104025_003 | O:6, T:5
ID: koa_10104025_004 | O:9, T:8
ID: koa_10104025_005 | O:6, T:1
ID: koa_10104026_002 | O:5, T:6
ID: koa_10104027_001 | O:4, T:5
ID: koa_10104027_002 | O:23, T:19
ID: koa_10104028_005 | O:11, T:8
ID: koa_10104028_007 | O:1, T:2
ID: koa_10104028_008 | O:8, T:9
ID: koa_10104028_009 | O:4, T:8
ID: koa_10104028_013 | O:2, T:1
ID: koa_10104029_001 | O:2, T:1
ID: koa_10104029_004 | O:1, T:2
ID: koa_10104029_005 | O:6, T:5
ID: koa_10105003_005 | O:2, T:1
ID: koa_10105005_003 | O:5, T:1
ID: koa_10105005_004 | O:5, T:4
ID: koa_10105007_005 | O:10, T:2
ID: koa_10105011_002 | O:2, T:4
ID: koa_10105011_003 | O:4, T:6
ID: koa_10105011_004 | O:1, T:5
ID: koa_10105011_005 | O:1, T:4
ID: koa_10105012_002 | O:5, T:7
ID: koa_10105014_001 | O:4, T:6
ID: koa_10105016_004 | O:4, T:1
ID: koa_10105018_001 | O:1, T:2
ID: koa_10105021_001 | O:1, T:2
ID: koa_10105022_004 | O:1, T:2
ID: koa_10106001_001 | O:10, T:6
ID: koa_10106002_003 | O:28, T:29
ID: koa_10106003_002 | O:2, T:1
ID: koa_10106005_004 | O:5, T:4
ID: koa_10106006_002 | O:1, T:3
ID: koa_10106008_002 | O:1, T:3
ID: koa_10106008_006 | O:2, T:1
ID: koa_10106010_001 | O:2, T:1
ID: koa_10106012_002 | O:5, T:1
ID: koa_10106014_001 | O:1, T:4
ID: koa_10106014_002 | O:1, T:3
ID: koa_10106014_003 | O:4, T:7
ID: koa_10106014_005 | O:5, T:1
ID: koa_10106014_006 | O:1, T:3
ID: koa_10106014_007 | O:2, T:4
ID: koa_10106015_002 | O:1, T:2
ID: koa_10106015_003 | O:1, T:3
ID: koa_10106016_001 | O:1, T:4
ID: koa_10106016_003 | O:1, T:2
ID: koa_10106016_004 | O:1, T:2
ID: koa_10106017_004 | O:3, T:8
ID: koa_10106017_006 | O:4, T:6
ID: koa_10106018_003 | O:1, T:3
ID: koa_10106018_006 | O:2, T:1
ID: koa_10106019_003 | O:1, T:2
ID: koa_10106020_001 | O:1, T:2
ID: koa_10106020_002 | O:1, T:2
ID: koa_10106021_002 | O:1, T:3
ID: koa_10106022_001 | O:1, T:2
ID: koa_10106023_003 | O:8, T:5
ID: koa_10106023_004 | O:1, T:2
ID: koa_10106024_006 | O:4, T:5
ID: koa_10106024_009 | O:29, T:4
ID: koa_10106024_010 | O:1, T:4
ID: koa_10106028_001 | O:1, T:3
ID: koa_10106028_003 | O:6, T:1
ID: koa_10106029_004 | O:10, T:11
ID: koa_10106029_005 | O:16, T:1
ID: koa_10107001_002 | O:3, T:4
ID: koa_10107004_001 | O:3, T:1
ID: koa_10107008_001 | O:8, T:7
ID: koa_10107011_001 | O:9, T:1
ID: koa_10107012_001 | O:4, T:1
ID: koa_10107019_001 | O:3, T:2
ID: koa_10107020_001 | O:1, T:2
ID: koa_10107020_003 | O:1, T:2
ID: koa_10107021_001 | O:2, T:1
ID: koa_10107022_001 | O:2, T:1
ID: koa_10107023_001 | O:2, T:1
ID: koa_10107023_005 | O:2, T:3
ID: koa_10107024_003 | O:1, T:3
ID: koa_10107024_004 | O:5, T:2
ID: koa_10107026_002 | O:2, T:1
ID: koa_10107026_003 | O:2, T:1
ID: koa_10107027_001 | O:35, T:30
ID: koa_10107028_002 | O:3, T:8
ID: koa_10107029_001 | O:2, T:1
ID: koa_10107029_002 | O:8, T:7
ID: koa_10107029_003 | O:6, T:1
ID: koa_10108001_001 | O:3, T:7
ID: koa_10108001_002 | O:11, T:10
ID: koa_10108001_003 | O:4, T:6
ID: koa_10108001_004 | O:1, T:2
ID: koa_10108001_006 | O:3, T:4
ID: koa_10108003_003 | O:8, T:6
ID: koa_10108006_001 | O:1, T:2
ID: koa_10108006_002 | O:5, T:2
ID: koa_10108006_004 | O:4, T:6
ID: koa_10108007_002 | O:1, T:2
ID: koa_10108007_003 | O:1, T:2
ID: koa_10108007_005 | O:7, T:11
ID: koa_10108008_001 | O:2, T:4
ID: koa_10108008_003 | O:3, T:4
ID: koa_10108008_005 | O:1, T:3
ID: koa_10108009_003 | O:1, T:5
ID: koa_10108010_002 | O:22, T:12
ID: koa_10108010_004 | O:1, T:2
ID: koa_10108010_005 | O:1, T:2
ID: koa_10108011_002 | O:2, T:1
ID: koa_10108011_004 | O:2, T:1
ID: koa_10108012_002 | O:1, T:3
ID: koa_10108012_004 | O:1, T:2
ID: koa_10108013_001 | O:5, T:1
ID: koa_10108013_004 | O:8, T:9
ID: koa_10108015_001 | O:2, T:1
ID: koa_10108018_005 | O:3, T:1
ID: koa_10108020_001 | O:20, T:9
ID: koa_10108020_002 | O:1, T:3
ID: koa_10108022_001 | O:1, T:7
ID: koa_10108023_002 | O:7, T:11
ID: koa_10108023_003 | O:1, T:4
ID: koa_10108023_004 | O:21, T:25
ID: koa_10108025_002 | O:3, T:10
ID: koa_10108026_001 | O:1, T:4
ID: koa_10108026_002 | O:1, T:2
ID: koa_10108029_003 | O:2, T:1
ID: koa_10109001_001 | O:1, T:2
ID: koa_10109002_001 | O:2, T:1
ID: koa_10109003_001 | O:1, T:3
ID: koa_10109003_003 | O:2, T:4
ID: koa_10109004_002 | O:6, T:12
ID: koa_10109004_003 | O:4, T:5
ID: koa_10109004_004 | O:5, T:7
ID: koa_10109004_007 | O:1, T:3
ID: koa_10109004_008 | O:1, T:2
ID: koa_10109004_009 | O:2, T:4
ID: koa_10109005_004 | O:1, T:3
ID: koa_10109006_001 | O:2, T:1
ID: koa_10109006_006 | O:6, T:15
ID: koa_10109006_008 | O:17, T:21
ID: koa_10109006_009 | O:4, T:6
ID: koa_10109009_001 | O:1, T:2
ID: koa_10109009_004 | O:3, T:6
ID: koa_10109009_005 | O:1, T:2
ID: koa_10109010_005 | O:1, T:3
ID: koa_10109011_002 | O:27, T:5
ID: koa_10109014_002 | O:3, T:4
ID: koa_10109015_003 | O:6, T:5
ID: koa_10109015_004 | O:3, T:4
ID: koa_10109015_005 | O:1, T:2
