ID: ksa_10601006_001 | O:47, T:1, R:1.98
ID: ksa_10606010_001 | O:58, T:5, R:2.25
ID: ksa_10608030_001 | O:67, T:2, R:2.44
ID: ksa_10701003_002 | O:49, T:13, R:2.25
ID: ksa_10702020_002 | O:67, T:1, R:2.19
ID: ksa_10702022_002 | O:69, T:1, R:2.23
ID: ksa_10705021_003 | O:59, T:1, R:2.01
ID: ksa_10706023_001 | O:72, T:3, R:2.25
ID: ksa_10709030_002 | O:45, T:1, R:2.42
ID: ksa_10712007_003 | O:48, T:29, R:1.94
ID: ksa_10808014_005 | O:48, T:1, R:2.46
ID: ksa_10810021_002 | O:65, T:43, R:2.10
ID: ksa_10901018_002 | O:62, T:6, R:2.31
ID: ksa_10901028_001 | O:61, T:11, R:2.42
ID: ksa_10903025_001 | O:76, T:17, R:2.28
ID: ksa_10906012_001 | O:99, T:16, R:2.08
ID: ksa_10912028_002 | O:76, T:1, R:2.21
ID: ksa_11001015_002 | O:87, T:2, R:2.14
ID: ksa_11004003_001 | O:66, T:5, R:2.04
ID: ksa_11004029_001 | O:46, T:6, R:1.97
ID: ksa_11007025_006 | O:48, T:1, R:2.29
ID: ksa_11008021_001 | O:70, T:13, R:2.21
ID: ksa_11112001_001 | O:65, T:12, R:2.29
ID: ksa_11303017_002 | O:74, T:5, R:2.40
ID: ksa_11304014_001 | O:92, T:1, R:2.31
ID: ksa_11412016_001 | O:68, T:2, R:2.40
ID: ksa_11502001_001 | O:56, T:49, R:2.23
ID: ksa_11503107_001 | O:52, T:20, R:2.16
ID: ksa_11504025_010 | O:261, T:91, R:2.26
ID: ksa_11506003_002 | O:58, T:33, R:2.13
ID: ksa_11507018_002 | O:139, T:50, R:2.17
ID: ksa_11509027_003 | O:56, T:54, R:2.10
ID: ksa_11604017_002 | O:47, T:1, R:1.98
ID: ksa_11608017_001 | O:61, T:26, R:2.03
ID: ksa_11610022_001 | O:52, T:6, R:2.14
ID: ksa_11612014_002 | O:53, T:5, R:2.05
ID: ksa_11701028_001 | O:97, T:2, R:2.12
ID: ksa_11811028_001 | O:46, T:3, R:2.49
ID: ksa_11908006_001 | O:153, T:3, R:2.64
ID: ksa_12004012_003 | O:46, T:33, R:2.00
ID: ksa_12004026_002 | O:65, T:16, R:2.07
ID: ksa_12006001_003 | O:55, T:4, R:2.47
ID: ksa_12006004_002 | O:60, T:3, R:2.41
ID: ksa_12006023_001 | O:57, T:4, R:2.48
ID: ksa_12010003_005 | O:57, T:21, R:2.25
ID: ksa_12106020_003 | O:83, T:11, R:2.26
ID: ksa_12206002_002 | O:45, T:14, R:2.15
ID: ksa_12404018_001 | O:51, T:10, R:2.31
ID: ksa_12409030_001 | O:57, T:4, R:2.23
ID: ksa_12410024_003 | O:57, T:6, R:2.21
ID: ksa_12504026_002 | O:57, T:1, R:2.23
ID: ksa_12602017_005 | O:46, T:13, R:2.26
ID: ksa_12709028_002 | O:45, T:3, R:2.08
ID: ksa_12709029_003 | O:60, T:6, R:2.31
ID: ksa_12710002_005 | O:48, T:2, R:2.12
ID: ksa_12710008_011 | O:46, T:4, R:2.28
ID: ksa_12710013_004 | O:79, T:1, R:2.19
ID: ksa_12710029_005 | O:58, T:1, R:2.24
ID: ksa_12711011_002 | O:62, T:1, R:2.31
ID: ksa_12711011_004 | O:60, T:1, R:2.19
ID: ksa_12711021_003 | O:85, T:4, R:2.12
ID: ksa_12711023_002 | O:67, T:1, R:2.27
ID: ksa_12711029_002 | O:64, T:2, R:2.13
ID: ksa_12803017_002 | O:55, T:2, R:2.10
ID: ksa_12903030_001 | O:59, T:1, R:2.30
ID: ksa_12904017_004 | O:115, T:43, R:2.17
ID: ksa_12904021_002 | O:83, T:5, R:2.35
ID: ksa_12904023_002 | O:46, T:10, R:2.23
ID: ksa_12905021_004 | O:60, T:14, R:2.28
ID: ksa_13003005_003 | O:49, T:3, R:2.34
ID: ksa_13004018_001 | O:57, T:1, R:2.22
ID: ksa_13005014_002 | O:63, T:1, R:2.21
ID: ksa_13005030_004 | O:72, T:6, R:2.13
ID: ksa_13006030_002 | O:50, T:4, R:2.12
ID: ksa_13008010_003 | O:63, T:18, R:2.24
ID: ksa_13008030_001 | O:45, T:4, R:2.19
ID: ksa_13009011_001 | O:61, T:2, R:2.24
ID: ksa_13102030_002 | O:50, T:6, R:2.42
ID: ksa_13103009_001 | O:50, T:7, R:2.44
ID: ksa_13108003_002 | O:46, T:2, R:2.12
ID: ksa_13110030_001 | O:45, T:1, R:2.27
ID: ksa_13111001_011 | O:84, T:4, R:2.06
ID: ksa_13111002_006 | O:85, T:3, R:2.14
ID: ksa_13112027_002 | O:55, T:1, R:2.17
ID: ksa_13208027_001 | O:55, T:59, R:1.53
ID: ksa_13209017_001 | O:60, T:1, R:2.16
ID: ksa_13302025_001 | O:51, T:1, R:2.25
ID: ksa_13310022_002 | O:52, T:1, R:2.32
ID: ksa_13310023_002 | O:55, T:5, R:2.31
ID: ksa_13312030_002 | O:67, T:1, R:2.37
ID: ksa_13409012_002 | O:66, T:5, R:2.22
ID: ksa_13505012_004 | O:48, T:4, R:2.34
ID: ksa_13506019_002 | O:45, T:1, R:2.51
ID: ksa_13510009_001 | O:66, T:17, R:2.16
ID: ksa_13610003_001 | O:54, T:6, R:2.08
ID: ksa_13704030_002 | O:46, T:8, R:2.28
ID: ksa_13708017_002 | O:75, T:4, R:2.07
ID: ksa_13807005_002 | O:56, T:9, R:2.14
ID: ksa_13809005_002 | O:47, T:5, R:2.31
ID: ksa_13809026_004 | O:63, T:9, R:2.29
ID: ksa_13812007_003 | O:47, T:10, R:2.16
ID: ksa_13903013_001 | O:45, T:2, R:2.45
ID: ksa_13909007_003 | O:1, T:1, R:8.17
ID: ksa_14202028_003 | O:69, T:1, R:2.08
ID: ksa_14203003_003 | O:99, T:1, R:2.08
ID: ksa_14207017_001 | O:59, T:1, R:2.06
ID: ksa_14207025_003 | O:55, T:1, R:2.04
ID: ksa_14212029_001 | O:69, T:1, R:2.04
ID: ksa_14305020_002 | O:50, T:1, R:1.95
ID: ksa_14310005_001 | O:50, T:1, R:2.40
ID: ksa_14312010_003 | O:71, T:1, R:2.38
ID: ksa_14312025_002 | O:51, T:1, R:2.49
ID: ksa_14402014_001 | O:1, T:1, R:13.00
ID: ksa_14402017_001 | O:64, T:6, R:2.00
ID: ksa_14404016_002 | O:46, T:1, R:2.42
ID: ksa_14408103_001 | O:48, T:3, R:2.38
ID: ksa_14409025_002 | O:48, T:1, R:2.36
ID: ksa_14411026_002 | O:50, T:1, R:2.39
ID: ksa_14504018_001 | O:47, T:46, R:2.09
ID: ksa_14509028_001 | O:51, T:48, R:2.03
ID: ksa_14606008_008 | O:47, T:2, R:1.95
ID: ksa_14606008_009 | O:76, T:1, R:1.18
ID: kta_10006013_002 | O:68, T:64, R:1.67
ID: kta_10102011_001 | O:47, T:2, R:2.25
ID: kta_10105005_001 | O:71, T:5, R:2.25
ID: kta_10110017_002 | O:75, T:30, R:2.15
ID: kta_10112006_001 | O:124, T:20, R:2.18
ID: kta_10201018_002 | O:47, T:39, R:2.31
ID: kta_10203027_002 | O:79, T:11, R:2.25
ID: kta_10204017_002 | O:47, T:6, R:2.25
ID: kta_10204020_003 | O:55, T:5, R:2.03
ID: kta_10205013_001 | O:69, T:5, R:2.06
ID: kta_10208026_001 | O:84, T:7, R:2.04
ID: kta_10209021_001 | O:68, T:13, R:2.12
ID: kta_10303011_003 | O:90, T:35, R:2.12
ID: kta_10303013_003 | O:46, T:18, R:2.12
ID: kua_10008030_002 | O:107, T:21, R:1.51
ID: kua_10009024_007 | O:54, T:1, R:2.28
ID: kua_10012016_001 | O:59, T:59, R:1.94
ID: kua_10012018_002 | O:48, T:38, R:2.37
ID: kua_10012027_006 | O:46, T:65, R:2.18
ID: kua_10102029_003 | O:76, T:1, R:2.11
ID: kua_10103001_003 | O:72, T:1, R:2.37
ID: kua_10103002_003 | O:115, T:17, R:2.34
ID: kua_10103025_007 | O:75, T:14, R:2.23
ID: kua_10104009_004 | O:45, T:9, R:2.35
ID: kua_10104029_004 | O:82, T:29, R:2.14
ID: kua_10106011_001 | O:53, T:7, R:2.28
ID: kua_10107021_002 | O:53, T:37, R:2.20
ID: kua_10108011_001 | O:48, T:1, R:2.29
ID: kua_10110020_003 | O:47, T:2, R:2.45
ID: kua_10201001_003 | O:47, T:1, R:2.25
ID: kua_10202008_004 | O:49, T:1, R:2.10
ID: kua_10202015_002 | O:103, T:1, R:2.17
ID: kua_10203006_001 | O:55, T:1, R:2.12
ID: kua_10211028_002 | O:55, T:1, R:2.58
ID: kua_10307004_004 | O:48, T:1, R:2.04
ID: kua_10307018_001 | O:82, T:2, R:2.09
ID: kua_10308020_010 | O:50, T:1, R:2.12
ID: kua_10309018_004 | O:94, T:1, R:2.30
ID: kua_10310006_003 | O:193, T:153, R:2.16
ID: kua_10310026_001 | O:59, T:1, R:2.28
ID: kua_10403025_012 | O:55, T:1, R:2.12
ID: kua_10404014_006 | O:46, T:1, R:2.01
ID: kua_10404022_001 | O:69, T:1, R:2.40
ID: kua_10404022_002 | O:125, T:1, R:2.38
ID: kua_10409024_001 | O:76, T:9, R:1.96
ID: kua_10411018_004 | O:55, T:1, R:1.53
ID: kua_10501026_001 | O:103, T:48, R:2.00
ID: kua_10502028_001 | O:125, T:5, R:2.33
ID: kua_10503019_005 | O:51, T:3, R:2.35
ID: kua_10504006_001 | O:72, T:6, R:1.62
ID: kua_10504030_002 | O:48, T:5, R:2.45
ID: kua_10507028_001 | O:46, T:2, R:2.27
ID: kua_10508018_002 | O:67, T:154, R:2.21
ID: kua_10508029_004 | O:48, T:4, R:2.22
ID: kua_10509002_002 | O:134, T:2, R:2.32
ID: kua_10604026_003 | O:49, T:20, R:2.23
ID: kua_10605028_004 | O:51, T:1, R:2.27
ID: kua_10607004_001 | O:46, T:45, R:1.71
ID: kua_10607015_003 | O:47, T:8, R:2.26
ID: kua_10609002_001 | O:105, T:2, R:2.37
ID: kua_10611002_001 | O:50, T:1, R:2.10
ID: kua_10710026_003 | O:45, T:6, R:2.41
ID: kua_10903001_002 | O:152, T:64, R:2.44
ID: kua_10903023_002 | O:51, T:51, R:2.26
ID: kua_10906009_006 | O:78, T:9, R:2.27
ID: kua_10907024_003 | O:64, T:18, R:2.21
ID: kua_10912019_003 | O:121, T:9, R:2.23
ID: kua_10912026_004 | O:67, T:13, R:2.42
ID: kua_11001005_016 | O:60, T:4, R:2.50
ID: kua_11008029_003 | O:1, T:1, R:0.14
ID: kua_11012010_005 | O:59, T:9, R:2.36
ID: kua_11111023_001 | O:68, T:11, R:2.60
ID: kua_11207017_001 | O:46, T:19, R:2.38
ID: kua_11211007_003 | O:45, T:5, R:2.61
ID: kua_11309017_003 | O:51, T:5, R:2.13
ID: kua_11501028_001 | O:60, T:60, R:2.02
ID: kua_11503011_001 | O:78, T:7, R:2.10
ID: kua_11507029_001 | O:54, T:16, R:2.12
ID: kua_11607021_007 | O:82, T:6, R:2.43
ID: kua_11709024_001 | O:65, T:2, R:2.26
ID: kua_11801027_001 | O:45, T:82, R:2.24
ID: kua_11904004_001 | O:101, T:15, R:2.34
ID: kua_12003016_002 | O:55, T:1, R:2.33
ID: kua_12008029_003 | O:96, T:14, R:2.53
ID: kua_12010014_002 | O:130, T:16, R:2.62
ID: kua_12010025_002 | O:100, T:72, R:2.69
ID: kua_12102013_001 | O:47, T:28, R:2.09
ID: kua_12110010_004 | O:51, T:20, R:2.30
ID: kua_12205024_001 | O:65, T:13, R:2.39
ID: kua_12207028_002 | O:45, T:7, R:2.32
ID: kua_12301015_003 | O:48, T:2, R:2.58
ID: kua_12302019_001 | O:59, T:42, R:2.29
ID: kua_12402025_004 | O:117, T:118, R:2.07
ID: kua_12405023_003 | O:89, T:94, R:2.24
ID: kua_12409027_004 | O:74, T:3, R:2.39
ID: kua_12410022_001 | O:54, T:1, R:2.47
ID: kua_12411030_002 | O:86, T:44, R:2.23
ID: kua_12412002_001 | O:82, T:93, R:2.24
ID: kua_12504010_001 | O:57, T:2, R:2.66
ID: kua_12606022_002 | O:76, T:8, R:2.11
ID: kua_12703002_001 | O:65, T:12, R:2.31
ID: kua_12706002_001 | O:193, T:57, R:2.21
