ID: koa_10505001_004 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10505002_001 | 사유: 기계분할_실패(O:26, T:26)
ID: koa_10505002_003 | 사유: 기계분할_실패(O:16, T:17)
ID: koa_10505002_004 | 사유: 기계분할_실패(O:18, T:16)
ID: koa_10505002_007 | 사유: 가짜매칭_적발(유사도 0.31)
ID: koa_10505002_009 | 사유: 기계분할_실패(O:9, T:5)
ID: koa_10505003_001 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505003_003 | 사유: 기계분할_실패(O:6, T:7)
ID: koa_10505003_004 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505003_005 | 사유: 기계분할_실패(O:8, T:9)
ID: koa_10505003_007 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10505003_008 | 사유: 기계분할_실패(O:9, T:8)
ID: koa_10505003_009 | 사유: 기계분할_실패(O:10, T:10)
ID: koa_10505004_001 | 사유: 기계분할_실패(O:6, T:9)
ID: koa_10505004_002 | 사유: 기계분할_실패(O:25, T:24)
ID: koa_10505004_004 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10505004_005 | 사유: 기계분할_실패(O:10, T:9)
ID: koa_10505004_006 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505004_007 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505004_008 | 사유: 기계분할_실패(O:12, T:11)
ID: koa_10505004_009 | 사유: 기계분할_실패(O:17, T:19)
ID: koa_10505004_010 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505005_001 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10505005_002 | 사유: 기계분할_실패(O:4, T:6)
ID: koa_10505005_003 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505005_004 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505005_006 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505005_007 | 사유: 기계분할_실패(O:8, T:6)
ID: koa_10505005_008 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505005_009 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10505005_010 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505005_011 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505005_012 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505005_013 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10505005_014 | 사유: 가짜매칭_적발(유사도 0.23)
ID: koa_10505006_001 | 사유: 가짜매칭_적발(유사도 0.43)
ID: koa_10505006_002 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505006_004 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10505006_005 | 사유: 기계분할_실패(O:46, T:48)
ID: koa_10505006_006 | 사유: 가짜매칭_적발(유사도 0.36)
ID: koa_10505006_007 | 사유: 기계분할_실패(O:6, T:4)
ID: koa_10505006_009 | 사유: 가짜매칭_적발(유사도 0.34)
ID: koa_10505006_010 | 사유: 기계분할_실패(O:12, T:12)
ID: koa_10505006_011 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505006_012 | 사유: 기계분할_실패(O:17, T:19)
ID: koa_10505006_013 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505006_014 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505006_015 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505006_016 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10505006_017 | 사유: 기계분할_실패(O:11, T:11)
ID: koa_10505006_018 | 사유: 기계분할_실패(O:22, T:25)
ID: koa_10505006_020 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10505006_021 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10505007_001 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505007_002 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505007_003 | 사유: 기계분할_실패(O:1, T:3)
ID: koa_10505007_004 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505007_005 | 사유: 기계분할_실패(O:8, T:9)
ID: koa_10505007_006 | 사유: 기계분할_실패(O:8, T:8)
ID: koa_10505007_007 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10505007_008 | 사유: 기계분할_실패(O:15, T:15)
ID: koa_10505008_002 | 사유: 가짜매칭_적발(유사도 0.31)
ID: koa_10505008_003 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505008_004 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505008_005 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505008_006 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505008_007 | 사유: 기계분할_실패(O:9, T:8)
ID: koa_10505008_008 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10505008_009 | 사유: 기계분할_실패(O:6, T:7)
ID: koa_10505008_010 | 사유: 기계분할_실패(O:4, T:4)
ID: koa_10505008_011 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505008_012 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505008_013 | 사유: 기계분할_실패(O:54, T:58)
ID: koa_10505009_002 | 사유: 기계분할_실패(O:8, T:6)
ID: koa_10505009_003 | 사유: 기계분할_실패(O:7, T:5)
ID: koa_10505009_005 | 사유: 기계분할_실패(O:7, T:5)
ID: koa_10505010_001 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10505010_003 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505010_004 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10505010_005 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505010_006 | 사유: 기계분할_실패(O:3, T:6)
ID: koa_10505010_007 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505010_008 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505010_009 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505011_001 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10505011_002 | 사유: 기계분할_실패(O:12, T:11)
ID: koa_10505011_003 | 사유: 가짜매칭_적발(유사도 0.26)
ID: koa_10505011_004 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505011_005 | 사유: 가짜매칭_적발(유사도 0.16)
ID: koa_10505011_006 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505011_007 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505011_008 | 사유: 기계분할_실패(O:9, T:7)
ID: koa_10505011_009 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505012_002 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10505012_003 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10505012_004 | 사유: 기계분할_실패(O:6, T:7)
ID: koa_10505012_005 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505012_006 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505012_007 | 사유: 기계분할_실패(O:9, T:10)
ID: koa_10505013_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505013_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505013_003 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505013_004 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10505013_006 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505013_007 | 사유: 기계분할_실패(O:16, T:17)
ID: koa_10505013_008 | 사유: 가짜매칭_적발(유사도 0.34)
ID: koa_10505013_011 | 사유: 가짜매칭_적발(유사도 0.39)
ID: koa_10505014_001 | 사유: 가짜매칭_적발(유사도 0.40)
ID: koa_10505014_003 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505014_005 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505014_006 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505014_007 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10505014_008 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505014_009 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505014_010 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505014_011 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505014_012 | 사유: 기계분할_실패(O:5, T:5)
ID: koa_10505014_013 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10505014_014 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10505014_016 | 사유: 가짜매칭_적발(유사도 0.23)
ID: koa_10505014_017 | 사유: 기계분할_실패(O:4, T:3)
