ID: koa_10006023_003 | Count: 2
ID: koa_10006023_004 | Count: 1
ID: koa_10006023_006 | Count: 1
ID: koa_10006024_002 | Count: 6
ID: koa_10006025_001 | Count: 2
ID: koa_10006025_002 | Count: 6
ID: koa_10006026_002 | Count: 4
ID: koa_10006026_004 | Count: 1
ID: koa_10006026_005 | Count: 4
ID: koa_10006026_006 | Count: 3
ID: koa_10006026_007 | Count: 3
ID: koa_10006028_001 | Count: 7
ID: koa_10006029_001 | Count: 7
ID: koa_10007001_003 | Count: 1
ID: koa_10007002_002 | Count: 2
ID: koa_10007002_008 | Count: 1
ID: koa_10007002_009 | Count: 2
ID: koa_10007002_010 | Count: 2
ID: koa_10007002_012 | Count: 2
ID: koa_10007002_014 | Count: 3
ID: koa_10007003_001 | Count: 2
ID: koa_10007003_002 | Count: 2
ID: koa_10007003_006 | Count: 2
ID: koa_10007003_008 | Count: 1
ID: koa_10007004_001 | Count: 1
ID: koa_10007004_002 | Count: 3
ID: koa_10007004_004 | Count: 2
ID: koa_10007004_005 | Count: 9
ID: koa_10007005_001 | Count: 2
ID: koa_10007005_002 | Count: 2
ID: koa_10007005_003 | Count: 4
ID: koa_10007006_002 | Count: 7
ID: koa_10007006_005 | Count: 3
ID: koa_10007006_008 | Count: 1
ID: koa_10007007_001 | Count: 2
ID: koa_10007007_004 | Count: 2
ID: koa_10007007_007 | Count: 15
ID: koa_10007007_011 | Count: 1
ID: koa_10007007_012 | Count: 1
ID: koa_10007008_001 | Count: 1
ID: koa_10007008_002 | Count: 2
ID: koa_10007008_003 | Count: 2
ID: koa_10007009_008 | Count: 7
ID: koa_10007009_009 | Count: 1
ID: koa_10007010_001 | Count: 1
ID: koa_10007011_003 | Count: 2
ID: koa_10007011_004 | Count: 2
ID: koa_10007012_003 | Count: 17
ID: koa_10007012_004 | Count: 1
ID: koa_10007012_005 | Count: 1
ID: koa_10007012_006 | Count: 1
ID: koa_10007012_007 | Count: 3
ID: koa_10007012_008 | Count: 1
ID: koa_10007012_009 | Count: 1
ID: koa_10007013_004 | Count: 2
ID: koa_10007013_006 | Count: 10
ID: koa_10007013_007 | Count: 4
ID: koa_10007014_001 | Count: 1
ID: koa_10007014_004 | Count: 1
ID: koa_10007014_005 | Count: 1
ID: koa_10007014_006 | Count: 2
ID: koa_10007014_007 | Count: 1
